X,Y,ID,Site_name,Site_type,Municipality,TotalBeneficiaries_Patients,Funders_Implementers,Funders_Combined,IsPrimary,Number_Funders,PVSizekW,Savings_year,CO2_eq_avoided_metric_tonnes_ye,Battery_size_kWh,PV_Size_AVG,Savings_AVG,CO2avoided_AVG,Batterysize_AVG,loads_backed_up,Installer,CompletionDate,Status,Latitude,Longitude,Accurate_building_town,Address,SiteDescription,Last_update,ObjectId
-66.648,18.448,309,Escuela Factor 5,School,Arecibo,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.448,-66.648,Building,,School / emergency shelter,2020/02/14 00:00:00+00,1
-66.075207,18.39966,39,Profamilias - Clinica Iella,Clinic,San Juan,,Direct Relief,"Direct Relief, Solar Saves Lives group",1,2,19.47,7675.07,23.44,40,9.735,3837.537,11.72239636,20,"Vaccine Refrigerators, Lighting in Common Areas, Internet and Servers",New Energy,7/6/18,Complete,18.39966,-66.075207,Building,"Reparto Metropolitano, 1008 calle 42 SE, San Juan, 00921, Puerto Rico",,2020/02/14 00:00:00+00,2
-66.758,18.441,310,Escuela Maria Cadilla de Martinez,School,Arecibo,,American Red Cross,American Red Cross,1,1,55,21681,66.23,,55,21681,66.228228,0,,,,In Process,18.441,-66.758,Building,,School / emergency shelter,2020/02/14 00:00:00+00,3
-66.075207,18.39966,40,Profamilias - Clinica Iella,Clinic,San Juan,,Solar Saves Lives group,"Direct Relief, Solar Saves Lives group",0,2,19.47,7675.07,23.44,40,9.735,3837.537,11.72239636,20,"Vaccine Refrigerators, Lighting in Common Areas, Internet and Servers",New Energy,7/6/18,Complete,18.39966,-66.075207,Building,"Reparto Metropolitano, 1008 calle 42 SE, San Juan, 00921, Puerto Rico",,2020/02/14 00:00:00+00,4
-66.409037,18.435403,42,"PryMed Medical Care, Inc. ",Clinic,Vega Baja,,Fundación Comunitaria,Fundación Comunitaria,1,1,5.4,2128.68,6.5,14.8,5.4,2128.68,6.50240784,14.8,Vaccine Refrigerators,New Energy,,Complete,18.435403,-66.409037,Building,"PR-2 Km. 39.8, Algarobo Ward , Vega Baja, PR 00693",,2019/03/14 00:00:00+00,5
-66.098,17.976,317,Esc. Francisco A. Garcia Boyre,School,Guayama,,American Red Cross,American Red Cross,1,1,50,19710,,,50,19710,0,0,,,,In Process,17.976,-66.098,Building,,School/Emergency shelter,2020/02/14 00:00:00+00,6
-67.056662,18.294088,238,"Comité Comunal de Corcovada, Inc.",Water Pumping Station,Añasco,,Fundación Comunitaria,Fundación Comunitaria,1,1,0,0,0,,0,0,0,0,Water pumps,,,Complete,18.294088,-67.056662,Town,,,2019/03/18 00:00:00+00,7
-65.968611,18.19,239,Asociación de Vecinos del Sector Los Oquendo,Water Pumping Station,San Lorenzo,,Fundación Comunitaria,Fundación Comunitaria,1,1,0,0,0,,0,0,0,0,Water pumps,,,Complete,18.19,-65.968611,Town,"BO. HATO SAN LORENZO, PR 00754",,2019/03/18 00:00:00+00,8
-66.613931,18.010869,240,"Acueducto Comunal Río Chiquito, Inc.",Water Pumping Station,Ponce,,Fundación Comunitaria,Fundación Comunitaria,1,1,0,0,0,,0,0,0,0,Water pumps,,,Complete,18.010869,-66.613931,Town,"Bo Rio Chiquito Carr. 588 Km 1.5 PONCE, PR 00731",,2019/03/18 00:00:00+00,9
-66.519801,18.220631,241,"Comunidad Toro Negro, Inc.",Community Solar,Ciales,,Fundación Comunitaria,Fundación Comunitaria,1,1,0,0,0,,0,0,0,0,,,,Complete,18.220631,-66.519801,Town,,,2019/03/18 00:00:00+00,10
-66.23563,18.161044,242,Centro de Adiestramiento para Personas con Impedimentos - CAPI,Agriculture,Aibonito,,Fundación Comunitaria,Fundación Comunitaria,1,1,0,0,0,,0,0,0,0,Hydroponics,,,Complete,18.161044,-66.23563,Town,,,2019/03/18 00:00:00+00,11
-66.103056,18.256944,243,El Centro San Agustín del Coqui,Community Center,Aguas Buenas,,Empowered by Light,"Empowered by Light, MCS Foundation",1,2,23.46,9247.93,28.25,67.5,11.73,4623.966,14.12467481,33.75,,,,Complete,18.256944,-66.103056,Town,,,2019/03/20 00:00:00+00,12
-66.103056,18.256944,244,El Centro San Agustín del Coqui,Community Center,Aguas Buenas,,MCS Foundation,"Empowered by Light, MCS Foundation",0,2,23.46,9247.93,28.25,67.5,11.73,4623.966,14.12467481,33.75,,,,Complete,18.256944,-66.103056,Town,,,2019/03/20 00:00:00+00,13
-66.4093,18.3263,245,Morovis Elementary Urban School,School,Morovis,,RMI,"RMI, Save the Children, Kinesis Foundation",1,3,33.32,13134.74,40.12,52.65,11.10666667,4378.248,13.37408822,17.55,,,,Complete,18.3263,-66.4093,Building,"Calle del Carmen Final, Pueblo, Morovis, PR ",,2019/04/04 00:00:00+00,14
