CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
72001,Puerto Rico,Adjuntas Municipio,18525,9297,9228,99.6,0.3,0,0,0,0,14345,11680,1168,7117,737,64.1,78.3,36.5,21.1,21.2,8.9,12.3,88,3.8,0,5.7,1.1,1.5,28.9,3719,57.2,33.7,9,0,40.9
72003,Puerto Rico,Aguada Municipio,39470,19308,20162,93.7,4.1,0.1,0,0,0,31286,16199,1510,9001,605,52.2,62.2,27.8,26.4,23.9,11.3,10.5,68.6,21,0.3,4.5,0.7,4.9,24.3,11901,64,19.5,16.5,0,17.6
72005,Puerto Rico,Aguadilla Municipio,55722,27122,28600,97.3,1,0.3,0,0.3,0,43718,16821,939,10872,774,51.6,65.2,30.9,23.5,26.6,8.9,10.1,84.8,7.8,0.5,4.4,1.6,0.9,20.9,13862,65.4,26,8.5,0.1,22.6
72007,Puerto Rico,Aguas Buenas Municipio,26855,13057,13798,99.4,0.6,0,0,0,0,20970,16733,1797,10615,2016,48.3,60.1,24.8,19.7,30.4,12.5,12.7,82.6,9.4,2,4,0.3,1.7,32,7433,68.5,18.2,13.2,0,20.7
72009,Puerto Rico,Aibonito Municipio,24008,11552,12456,99.5,0.3,0,0,0.1,0,18901,18387,1257,10224,1120,49.2,66.7,31.9,21.5,20.3,9.7,16.5,86.5,8.8,0.2,2.3,0.8,1.4,25.9,6088,73.9,21.8,4.3,0,6.4
72011,Puerto Rico,Añasco Municipio,27892,13499,14393,97.3,2,0.1,0,0,0,22186,18765,1292,9344,556,45.4,58.3,19.5,22.1,26.9,11.7,19.8,75.7,17.4,0.2,2.1,1.5,3.1,18.6,8844,74.7,15.2,10.1,0,14.3
72013,Puerto Rico,Arecibo Municipio,89550,43000,46550,99.5,0.4,0,0,0,0,71133,17289,802,9954,488,48.6,60.7,29,19.6,30.2,8.2,12.9,86.4,8.1,0.7,2.4,0.6,1.8,26.7,22992,70.3,22.8,6.8,0.2,17.4
72015,Puerto Rico,Arroyo Municipio,18504,8593,9911,99.8,0.2,0,0,0,0,14169,15689,2329,7639,768,56.7,65.5,29.6,28.3,21.7,6.8,13.6,90.4,5.3,1.3,1.1,0,1.9,20,3759,70.4,26.1,3.5,0,15.7
72017,Puerto Rico,Barceloneta Municipio,24583,11693,12890,99.8,0.1,0,0,0,0,19105,17113,2116,8762,694,48.6,59.9,26.6,17.1,33.7,8.7,13.9,81.9,12.3,0.6,1.8,2.3,1.1,27.2,5643,70.5,26.8,2.7,0,18.9
72019,Puerto Rico,Barranquitas Municipio,29237,14398,14839,100,0,0,0,0,0,22093,15694,1496,7716,597,60.7,77.8,28.4,22.3,23.9,14.1,11.3,87.4,6.6,0.8,2.9,0,2.3,31.2,6011,65.7,25.6,8.7,0,11.7
72021,Puerto Rico,Bayamón Municipio,188614,89275,99339,99.1,0.6,0.1,0,0.1,0,148157,25528,752,14138,387,34.7,49.8,33.1,19.2,32.6,7.6,7.6,74.2,12.5,4.5,2,4,2.8,34.7,67278,71.6,19.8,8.5,0.1,14.5
72023,Puerto Rico,Cabo Rojo Municipio,49726,23597,26129,99.8,0.2,0,0,0,0,39530,16461,1092,9523,726,52.5,62.4,34.8,17.6,32.5,7.2,7.9,91.4,1.4,0.1,1.1,0.1,5.9,26.8,12523,68.5,24.8,6.7,0,12.8
72025,Puerto Rico,Caguas Municipio,134269,62604,71665,99,0.8,0.1,0,0,0,104937,24229,893,13904,461,37.7,49.2,35.7,19.2,28.6,7.8,8.7,81.4,11.4,1.4,2.7,1.4,1.7,31.6,46869,71.7,19.1,9.2,0.1,15.4
72027,Puerto Rico,Camuy Municipio,32936,15792,17144,99.2,0.8,0.1,0,0,0,25981,17579,1275,9738,700,48.5,65.7,30.7,17.7,28.9,13.3,9.5,89.2,6.3,0.1,2.5,0.6,1.3,30.7,8925,68.1,23.6,8.3,0,19.1
72029,Puerto Rico,Canóvanas Municipio,46779,22577,24202,99.8,0.1,0,0,0.1,0,34956,19986,2164,11094,763,42.8,51.5,24.9,23.9,29.3,10.2,11.6,86.8,7.5,1.6,2,1.2,0.9,35.5,14290,72.5,20.6,6.8,0,23.3
72031,Puerto Rico,Carolina Municipio,161684,74194,87490,98.8,0.8,0.1,0,0.2,0,124707,29082,821,16188,477,29,42.8,34.2,20,30.2,7.4,8.3,82.9,9.3,2.5,1.8,1.1,2.5,30.8,62345,68.9,21.5,9.4,0.2,14.1
72033,Puerto Rico,Cataño Municipio,25595,12111,13484,99.3,0.4,0,0,0.3,0,19413,18663,1413,11627,845,49.4,65.2,29.8,21.9,30.6,8.3,9.2,75.1,7.4,7.8,3.3,3.1,3.4,28.7,7720,71.3,19.5,9.2,0,27.9
72035,Puerto Rico,Cayey Municipio,45431,21821,23610,99.5,0.5,0,0,0,0,35828,20442,1398,12594,1214,43.6,57.5,33,18.1,27.4,9.9,11.6,82.7,4.4,0.7,3.5,6.4,2.1,27.6,14670,68.4,20.5,11.1,0,10.6
72037,Puerto Rico,Ceiba Municipio,12238,5749,6489,98.9,0.8,0,0,0.1,0,9568,18998,2217,11840,2355,43.2,53.1,24.4,21,27.8,12.4,14.4,80.6,11.5,0.6,3.6,1.6,2.2,25.4,3510,64.8,21.2,13.4,0.6,11.9
72039,Puerto Rico,Ciales Municipio,17325,8450,8875,99.5,0.5,0,0,0,0,13537,14432,1483,8049,980,58.2,72.6,28.7,21.8,19.6,12.5,17.4,76.9,16.1,0.3,4.7,1.2,0.7,35,3348,66.2,28.4,5,0.4,20.1
72041,Puerto Rico,Cidra Municipio,41181,19998,21183,99.6,0.3,0,0,0.1,0,32044,20389,1458,10965,532,43.2,52.3,30.9,16.4,28.7,10,13.9,82.3,8.3,1.3,2.8,3.5,1.8,32.1,13067,72.4,20,7.6,0,16.9
72043,Puerto Rico,Coamo Municipio,39796,19317,20479,99.5,0.5,0,0,0,0,30802,19110,2063,10307,644,48.3,60.9,25.9,21.8,21.8,13.3,17.2,91.2,1.5,0,5.7,0.6,1,25.6,11619,63.9,28.7,7.4,0,8.2
72045,Puerto Rico,Comerío Municipio,19914,9893,10021,99.5,0.4,0,0,0,0,15463,13523,1369,7047,542,58.9,70.1,27.3,24.5,27.4,11.4,9.4,78.3,11.7,1.7,4.4,2.5,1.4,37.6,4992,62.7,26.9,10.4,0,25
