County,Link,Population,Providers,Plants,Residential Rate (Â¢),Residential Avg. Electric Bill,comp0,comp1,comp2,comp3,comp4,comp5
Adjuntas Municipio,https://findenergy.com/pr/adjuntas-municipio-electricity/,"18,068",1,,26.87,$102.83/mo,88078,4.87,63810037,3531.7,12.08%,2.45%
Aguada Municipio,https://findenergy.com/pr/aguada-municipio-electricity/,"38,307",1,,26.87,$102.83/mo,186740,4.87,135287307,3531.7,12.08%,2.45%
Aguadilla Municipio,https://findenergy.com/pr/aguadilla-municipio-electricity/,"55,241",1,,26.87,$102.83/mo,269290,4.87,195092441,3531.7,12.08%,2.45%
Aguas Buenas Municipio,https://findenergy.com/pr/aguas-buenas-municipio-electricity/,"24,567",1,,26.87,$102.83/mo,119760,4.87,86762296,3531.7,12.08%,2.45%
Aibonito Municipio,https://findenergy.com/pr/aibonito-municipio-electricity/,"24,565",1,,26.87,$102.83/mo,119750,4.87,86755233,3531.7,12.08%,2.45%
Arecibo Municipio,https://findenergy.com/pr/arecibo-municipio-electricity/,"88,017",1,,26.87,$102.83/mo,429067,4.87,310846136,3531.7,12.08%,2.45%
Arroyo Municipio,https://findenergy.com/pr/arroyo-municipio-electricity/,"16,183",1,,26.87,$102.83/mo,78889,4.87,57152857,3531.7,12.08%,2.45%
AÃ±asco Municipio,https://findenergy.com/pr/anasco-municipio-electricity/,"25,859",1,,26.87,$102.83/mo,126058,4.87,91325201,3531.7,12.08%,2.45%
Barceloneta Municipio,https://findenergy.com/pr/barceloneta-municipio-electricity/,"22,836",1,,26.87,$102.83/mo,111321,4.87,80648992,3531.7,12.08%,2.45%
Barranquitas Municipio,https://findenergy.com/pr/barranquitas-municipio-electricity/,"28,982",1,,26.87,$102.83/mo,141282,4.87,102354576,3531.7,12.08%,2.45%
BayamÃ³n Municipio,https://findenergy.com/pr/bayamon-municipio-electricity/,"185,939",1,,26.87,$102.83/mo,906420,4.87,656673366,3531.7,12.08%,2.45%
Cabo Rojo Municipio,https://findenergy.com/pr/cabo-rojo-municipio-electricity/,"47,403",1,,26.87,$102.83/mo,231081,4.87,167411289,3531.7,12.08%,2.45%
Caguas Municipio,https://findenergy.com/pr/caguas-municipio-electricity/,"128,182",1,,26.87,$102.83/mo,624865,4.87,452695268,3531.7,12.08%,2.45%
Camuy Municipio,https://findenergy.com/pr/camuy-municipio-electricity/,"32,885",1,,26.87,$102.83/mo,160309,4.87,116138646,3531.7,12.08%,2.45%
CanÃ³vanas Municipio,https://findenergy.com/pr/canovanas-municipio-electricity/,"42,811",1,,26.87,$102.83/mo,208696,4.87,151193905,3531.7,12.08%,2.45%
Carolina Municipio,https://findenergy.com/pr/carolina-municipio-electricity/,"155,886",1,,26.87,$102.83/mo,759917,4.87,550536382,3531.7,12.08%,2.45%
CataÃ±o Municipio,https://findenergy.com/pr/catano-municipio-electricity/,"23,536",1,,26.87,$102.83/mo,114734,4.87,83121155,3531.7,12.08%,2.45%
Cayey Municipio,https://findenergy.com/pr/cayey-municipio-electricity/,"42,134",1,,26.87,$102.83/mo,205396,4.87,148802971,3531.7,12.08%,2.45%
Ceiba Municipio,https://findenergy.com/pr/ceiba-municipio-electricity/,"11,463",1,,26.87,$102.83/mo,55880,4.87,40483421,3531.7,12.08%,2.45%
Ciales Municipio,https://findenergy.com/pr/ciales-municipio-electricity/,"17,045",1,,26.87,$102.83/mo,83091,4.87,60197148,3531.7,12.08%,2.45%
Cidra Municipio,https://findenergy.com/pr/cidra-municipio-electricity/,"40,125",1,,26.87,$102.83/mo,195602,4.87,141707866,3531.7,12.08%,2.45%
