id,Coordenadas,Latitude,Longitude,
16858,"18.45867, -67.73699",18.4586700000,-67.736990000,
5448,"18.36339, -67.26350",18.3633900000,-67.263500000,
5769,"18.367793, -67.256114",18.3677930000,-67.256114000,
3997,"18.331920, -67.252468",18.3319200000,-67.252468000,
6274,"18.338611, -67.249444",18.3386110000,-67.249444000,
16706,"18.340765, -67.248916",18.3407650000,-67.248916000,
851,"18.326571,-67.248078",18.3265710000,-67.248078000,
6383,"18.325181, -67.243937",18.3251810000,-67.243937000,
604,"18.321393, -67.243541",18.3213930000,-67.243541000,
8101,"18.313706, -67.241186",18.3137060000,-67.241186000,
498,"18.3058763 , -67.2383123",18.3058763000,-67.238312300,
541,"18.301540, -67.232740",18.3015400000,-67.232740000,
5040,"18.3114820 , -67.2321982",18.3114820000,-67.232198200,
6612,"18.353529, -67.231190",18.3535290000,-67.231190000,
3085,"18.351610372410544, -67.22883288420763",18.3516103724,-67.228832884,
3603,"18.343639, -67.228611",18.3436390000,-67.228611000,
2609,"18.32098,-6722588",18.3209800000,-67.225880000,
17949,"18.317212, -67.224632",18.3172120000,-67.224632000,
3457,"18.347944, -67.224306",18.3479440000,-67.224306000,
3587,"18.34666617, -67.22360285",18.3466661700,-67.223602850,
18879,"18.31570464, -67.22296771",18.3157046400,-67.222967710,
977,"18.378977, -67.220039",18.3789770000,-67.220039000,
6116,"18.331532, -67.218956",18.3315320000,-67.218956000,
9688,"18.3643470, -67.2160260",18.3643470000,-67.216026000,
703,"18.33350, -67.21514",18.3335000000,-67.215140000,
12928,"18.36579531,-67.21508539",18.3657953100,-67.215085390,
3452,"18.356356, -67.210258",18.3563560000,-67.210258000,
11481,"18.348545, -67.207114",18.3485450000,-67.207114000,
1255,"18.3700002 , -67.2024783",18.3700002000,-67.202478300,
16598,"18.359366, -67.201520",18.3593660000,-67.201520000,
16191,"18.377210, -67.201404",18.3772100000,-67.201404000,
17562,"18.3599, -67.2013",18.3599000000,-67.201300000,
14750,"18.298391, -67.199451",18.2983910000,-67.199451000,
12905,"18.3804, -67.1993",18.3804000000,-67.199300000,
36,"18.3725139, -67.1990146",18.3725139000,-67.199014600,
4954,"18.366288, -67.198775",18.3662880000,-67.198775000,
15825,"18.380468, -67.198678",18.3804680000,-67.198678000,
17211,"18.389152, -67.198225",18.3891520000,-67.198225000,
4643,"18.048712, -67.198135",18.0487120000,-67.198135000,
10608,"18.319179, -67.197776",18.3191790000,-67.197776000,
632,"18.3516825,-67.1975695",18.3516825000,-67.197569500,
4185,"18.296610, -67.197420",18.2966100000,-67.197420000,
17515,"18.380993,-67.196973",18.3809930000,-67.196973000,
2627,"18.3731779,-67.1967783",18.3731779000,-67.196778300,
10062,"18.370075, -67.196662",18.3700750000,-67.196662000,
6379,"18.373230, -67.196340",18.3732300000,-67.196340000,
