latitude,longitude,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
18.15026,-66.75912,18.164923,-66.726929,0.12,nearest_street,10,Cll San Felipe,,,Adjuntas,PR,Adjuntas Municipio,00601,US,TIGER/Line® dataset from the US Census Bureau
18.165141,-66.727228,18.164923,-66.726929,0.97,nearest_street,10,Cll San Felipe,,,Adjuntas,PR,Adjuntas Municipio,00601,US,TIGER/Line® dataset from the US Census Bureau
18.166733,-66.722569,18.166493,-66.723462,0.95,nearest_street,9,Cll Fernando Rodriguez,,,Adjuntas,PR,Adjuntas Municipio,00601,US,TIGER/Line® dataset from the US Census Bureau
18.173333,-66.708333,18.162257,-66.718086,0.25,nearest_street,41,Cll John F Kennedy,,,Adjuntas,PR,Adjuntas Municipio,00601,US,TIGER/Line® dataset from the US Census Bureau
18.168942,-66.791578,18.168942,-66.791578,1,nearest_place,,,,,Castaner,PR,Adjuntas Municipio,00631,US,TIGER/Line® dataset from the US Census Bureau
18.187504,-66.801128,18.187504,-66.801128,1,nearest_place,,,,,Castaner,PR,Adjuntas Municipio,00631,US,TIGER/Line® dataset from the US Census Bureau
18.1883013,-66.7861193,18.188301,-66.786119,1,nearest_place,,,,,Castaner,PR,Adjuntas Municipio,00631,US,TIGER/Line® dataset from the US Census Bureau
18.1891093,-66.7774504,18.189109,-66.77745,1,nearest_place,,,,,Castaner,PR,Adjuntas Municipio,00631,US,TIGER/Line® dataset from the US Census Bureau
18.2268146,-66.7926901,18.226815,-66.79269,1,nearest_place,,,,,Castaner,PR,Adjuntas Municipio,00631,US,TIGER/Line® dataset from the US Census Bureau
18.338766,-67.191682,18.378097,-67.18435,0.08,nearest_street,103,Cll San Jos,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.33983,-67.17639,18.378097,-67.18435,0.09,nearest_street,103,Cll San Jos,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.348545,-67.207114,18.380218,-67.197864,0.12,nearest_street,26,Cll 10,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.3516825,-67.1975695,18.379161,-67.193888,0.15,nearest_street,3,Cll Reparto Minerva,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.3521128,-67.191955,18.379046,-67.192615,0.16,nearest_street,1,Cll Reparto Minerva,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.352722,-67.180754,18.378097,-67.18435,0.17,nearest_street,103,Cll San Jos,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.356174,-67.194777,18.379046,-67.192615,0.18,nearest_street,1,Cll Reparto Minerva,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.356356,-67.210258,18.380321,-67.198263,0.16,nearest_street,21,Cll 10,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.35782596,-67.16434608,18.378097,-67.18435,0.15,nearest_street,103,Cll San Jos,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.35844,-67.17024,18.378097,-67.18435,0.18,nearest_street,103,Cll San Jos,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.3584685,-67.1794442,18.378097,-67.18435,0.2,nearest_street,103,Cll San Jos,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.359366,-67.20152,18.379161,-67.193888,0.2,nearest_street,3,Cll Reparto Minerva,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.3599,-67.2013,18.379161,-67.193888,0.2,nearest_street,3,Cll Reparto Minerva,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
18.360533,-67.182317,18.378097,-67.18435,0.22,nearest_street,103,Cll San Jos,,,Aguada,PR,Aguada Municipio,00602,US,TIGER/Line® dataset from the US Census Bureau
