latitude,longitude,Reverse_Geocoded_Address,StretNumber,StreetName,City,State,ZipCode
15.18614455,-65.9496523,,,,,,
17.414,-66.031085,,,,,,
17.93476,-66.953387,"170 Pr- 324, Ensenada, PR 00647",170,Pr- 324,Ensenada,PR,00647
17.9364926,-66.9515811,"170 Pr- 324, Ensenada, PR 00647",170,Pr- 324,Ensenada,PR,00647
17.93937,-66.958183,"170 Pr- 324, Ensenada, PR 00647",170,Pr- 324,Ensenada,PR,00647
17.9394,-66.9581,"170 Pr- 324, Ensenada, PR 00647",170,Pr- 324,Ensenada,PR,00647
17.939653,-66.198951,"106 Cll D, Patillas, PR 00723",106,Cll D,Patillas,PR,00723
17.9413927,-66.9522014,"170 Pr- 324, Ensenada, PR 00647",170,Pr- 324,Ensenada,PR,00647
17.94698,-66.13248,"52 Cll 2, Patillas, PR 00723",52,Cll 2,Patillas,PR,00723
17.94853466,-66.13419258,"52 Cll 2, Patillas, PR 00723",52,Cll 2,Patillas,PR,00723
17.9486371,-66.8785982,"81 Ave Esperanza Idrach, Guanica, PR 00653",81,Ave Esperanza Idrach,Guanica,PR,00653
17.9490731,-66.1341451,"52 Cll 2, Patillas, PR 00723",52,Cll 2,Patillas,PR,00723
17.94909199,-66.12778231,"52 Cll 2, Patillas, PR 00723",52,Cll 2,Patillas,PR,00723
17.94909588,-66.12815227,"52 Cll 2, Patillas, PR 00723",52,Cll 2,Patillas,PR,00723
17.94935,-66.12866,"52 Cll 2, Patillas, PR 00723",52,Cll 2,Patillas,PR,00723
17.951746,-66.179939,"112 Cll D, Patillas, PR 00723",112,Cll D,Patillas,PR,00723
17.95208,-66.17899,"120 Cll D, Patillas, PR 00723",120,Cll D,Patillas,PR,00723
17.952303,-66.225975,"749 Cll Luz, Salinas, PR 00751",749,Cll Luz,Salinas,PR,00751
17.9531152,-66.1678983,"582 Cll Girasol, Patillas, PR 00723",582,Cll Girasol,Patillas,PR,00723
17.953556,-66.16893,"55309 Cll Camelias, Patillas, PR 00723",55309,Cll Camelias,Patillas,PR,00723
17.953777,-66.225288,"749 Cll Luz, Salinas, PR 00751",749,Cll Luz,Salinas,PR,00751
17.953903,-66.170845,"57 Cll Amapola, Patillas, PR 00723",57,Cll Amapola,Patillas,PR,00723
17.956667,-66.113847,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.957333,-66.224222,"749 Cll Luz, Salinas, PR 00751",749,Cll Luz,Salinas,PR,00751
17.9574,-66.1663,"103 Pr- 3, Patillas, PR 00723",103,Pr- 3,Patillas,PR,00723
17.95918,-66.22893,"749 Cll Luz, Salinas, PR 00751",749,Cll Luz,Salinas,PR,00751
17.959339,-66.228958,"749 Cll Luz, Salinas, PR 00751",749,Cll Luz,Salinas,PR,00751
17.959475,-66.229713,"745 Cll Luz, Salinas, PR 00751",745,Cll Luz,Salinas,PR,00751
17.959631,-66.230751,"745 Cll Luz, Salinas, PR 00751",745,Cll Luz,Salinas,PR,00751
17.959666,-66.373873,"315 Cll 4, Santa Isabel, PR 00757",315,Cll 4,Santa Isabel,PR,00757
17.95979,-66.11417175,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.960529,-66.377586,"323 Cll 4, Santa Isabel, PR 00757",323,Cll 4,Santa Isabel,PR,00757
17.961,-66.11328,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.9614122,-66.2887506,"35 Cll Sierra, Salinas, PR 00751",35,Cll Sierra,Salinas,PR,00751
17.9618584,-66.1073642,"31 Cll 43, Patillas, PR 00723",31,Cll 43,Patillas,PR,00723
17.962013,-66.160839,"255 Cll B, Patillas, PR 00723",255,Cll B,Patillas,PR,00723
17.9621209,-66.0623705,"20 Cll Arizona 2, Arroyo, PR 00714",20,Cll Arizona 2,Arroyo,PR,00714
17.962741,-66.113223,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.962752,-66.112326,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.9631587,-66.1071379,"31 Cll 43, Patillas, PR 00723",31,Cll 43,Patillas,PR,00723
17.963565,-66.10255,"244 Cll 5, Patillas, PR 00723",244,Cll 5,Patillas,PR,00723
17.9636275,-66.1062758,"31 Cll 43, Patillas, PR 00723",31,Cll 43,Patillas,PR,00723
17.963895,-66.102993,"244 Cll 5, Patillas, PR 00723",244,Cll 5,Patillas,PR,00723
17.963957,-66.109614,"31 Cll 43, Patillas, PR 00723",31,Cll 43,Patillas,PR,00723
17.963985,-66.060739,"26 Cll Santa Teresa, Arroyo, PR 00714",26,Cll Santa Teresa,Arroyo,PR,00714
17.9641943,-66.3695947,"111 Cll 2, Santa Isabel, PR 00757",111,Cll 2,Santa Isabel,PR,00757
17.96427,-66.291439,"35 Cll Sierra, Salinas, PR 00751",35,Cll Sierra,Salinas,PR,00751
17.96445508,-66.11574013,"23 Cll 53, Patillas, PR 00723",23,Cll 53,Patillas,PR,00723
17.964698,-66.17435,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.96476397,-66.29368818,"52 Cll Sierra, Salinas, PR 00751",52,Cll Sierra,Salinas,PR,00751
17.96479,-66.114624,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.964857,-66.112598,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.96488,-66.937758,"488 Cll Las Flores, Ensenada, PR 00647",488,Cll Las,Ensenada,PR,00647
17.9649581,-66.1736889,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.96515,-66.11182,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.9651641,-66.1148717,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.965232,-66.174438,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.965328,-66.065452,"2 Cll Marcelino Cintron, Arroyo, PR 00714",2,Cll Marcelino Cintron,Arroyo,PR,00714
17.965341,-66.065488,"2 Cll Marcelino Cintron, Arroyo, PR 00714",2,Cll Marcelino Cintron,Arroyo,PR,00714
17.965351,-66.113856,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.965437,-66.101712,"244 Cll 5, Patillas, PR 00723",244,Cll 5,Patillas,PR,00723
17.965447,-66.172939,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.9654888,-66.1734012,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.965527,-66.935379,"313 Cll F, Ensenada, PR 00647",313,Cll F,Ensenada,PR,00647
17.96563,-66.10368,"244 Cll 5, Patillas, PR 00723",244,Cll 5,Patillas,PR,00723
17.965768,-66.931889,"1 Cll D, Ensenada, PR 00647",1,Cll D,Ensenada,PR,00647
17.965826,-66.286927,"35 Cll Sierra, Salinas, PR 00751",35,Cll Sierra,Salinas,PR,00751
17.965862,-66.103738,"244 Cll 5, Patillas, PR 00723",244,Cll 5,Patillas,PR,00723
